,description_x
0,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
2,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
3,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
6,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
9,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
12,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
13,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
17,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
18,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
25,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
26,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
30,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
31,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
33,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
34,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
37,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
39,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
41,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
43,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
48,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
49,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
50,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
51,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
52,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
53,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
54,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
55,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
56,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
59,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
60,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
61,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
65,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
67,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
68,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
69,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
78,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
79,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
80,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
81,"A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction."
82,This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons.
86,"After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely."
87,"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors."
89,A couple's Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the property's terrible past.
92,A genius engineer and his crew of amateur thieves plot a scheme to seize a legendary lost treasure hidden in a fortress beneath the Bank of Spain.
94,"Two cops form a task force to take down two mobsters, but when a sinister politician enters the picture, dubious loyalties and motives come to light."
95,"Working as a Mossad spy assigned to Tehran, Rachel reaches her breaking point. Now it’s dangerously hard to tell whose side she’s on."
96,"In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
98,"Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other."
100,"With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob."
101,"Still reeling from the departure of vampire Edward Cullen, a heartbroken Bella Swan finds comfort in her friendship with werewolf Jacob Black."
102,"When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire."
103,"When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire."
104,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé."
106,"In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears."
107,"He's just a weed fiend going nowhere, or so he thinks. When the CIA tries to eliminate him, his long-dormant superspy training comes roaring back."
108,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle."
112,"When a has-been music producer gets stuck in Afghanistan he discovers a girl with a wonderful voice, then has to find a way to market her talents."
113,An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project.
115,A young dysfunctional couple tries to patch up their relationship through sessions with a highly unconventional therapist.
116,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them."
117,"Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family."
119,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn."
120,"In this new TV series sequel to the classic horror franchise, a cyberbullying incident in Lakewood leads to a murder with chilling echoes of the past."
123,Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.
128,A tight-knit trio of specially trained agents wield weapons — and charm — as they track down stolen software in this reboot of the classic TV series.
129,A tight-knit trio of specially trained agents wield weapons — and charm — as they track down stolen software in this reboot of the classic TV series.
130,"Eight people, some with ulterior motives, go on an expedition to the Congo, where they find a lost city protected by killer apes."
131,"Eight people, some with ulterior motives, go on an expedition to the Congo, where they find a lost city protected by killer apes."
134,Three fighters travel to the mystical realm of Outworld to test their might in a tournament against an evil demon with plans to take over the world.
135,The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy.
137,The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy.
138,"""Friends with benefits"" Emma and Adam are fine with their open relationship ... until those pesky little things called feelings enter the picture."
141,"When a snow day shuts down the whole town, the Wheeler family cuts loose. Hal makes a play for the most popular girl in his school, 10-year-old Natalie takes on the dreaded snowplow man, and Dad gets into a showdown with a rival meteorologist."
144,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him."
145,An aloof investment banker's life spirals into peril and paranoia after his brother gives him an odd birthday gift: the chance to play a mysterious game.
149,An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.
150,A vampire warrior begins to question her mission in the ancient war between the undead and werewolves when she falls for a human under her protection.
152,"A bright and promising young girl gets abducted and taken to a terrorist camp, where she unexpectedly crosses paths with her soulmate."
153,A substitute teacher and an obsessive student begin an illicit affair that endangers everyone involved and blurs the line between predator and prey.
154,"A talented thief teams up with an aspiring actress to steal art from LA's high rollers. For their last heist, they're going for the ultimate: freedom."
156,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
157,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
161,Four seniors embark on misadventures after breaking out of their nursing home to save a loved one’s grave from demolition by estate developers.
164,"After running away from her marriage, a woman enters a dangerous agreement with an unfamiliar man to save her father's company and her reputation."
165,"After running away from her marriage, a woman enters a dangerous agreement with an unfamiliar man to save her father's company and her reputation."
167,A disillusioned psychologist tries to commit suicide until he strikes up a friendship with an unlikely savior who teaches him a new way of living.
169,School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.
171,"Years after getting his girlfriend pregnant, washed-up jock Vince meets his eccentric son Michael and learns about fatherhood, one show tune at a time."
172,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
174,"Caught up in the lowrider world of his father and embittered brother, an East LA graffiti artist grapples with a family feud while chasing his dreams."
175,"After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies."
176,"As a killing resembling a cold case resurfaces in a small town, the chase for the truth falls on two policemen who each harbor secrets of their own."
180,"A half-human, half-vampire teen must prepare for class and her destiny as the protector of mortal vampires against their vicious immortal counterparts."
182,Two young adults from very different backgrounds fall in love during a summer on Italy’s Adriatic Coast. Inspired by Federico Moccia's book series.
184,"In this lesbian-themed nod to the film Run Lola Run, a photographer races against the clock to make it to an important meeting on time."
187,"Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex."
198,New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.
200,"Sweden's forward-thinking Queen Kristina resists her country's conservative ideals, which only grow more restrictive when she falls for a woman."
204,"Hired to extract a bride-to-be before her arranged wedding in Pakistan, a hired gun goes on the run with his hostage when his plan unravels."
205,"Isolated on a wind-ravaged 19th-century homestead, a frontierswoman begins to suspect that evil lurks in the terrifying emptiness all around her."
206,"Isolated on a wind-ravaged 19th-century homestead, a frontierswoman begins to suspect that evil lurks in the terrifying emptiness all around her."
207,"A couple rents a villa in Italy hoping to mend their bruised relationship, but the devilishly charming homeowner can’t seem to leave them alone."
210,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
213,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished."
215,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
216,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
218,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
220,Self-centered Javier's life gets a bit messy when he unexpectedly becomes a superhero – and his recent ex is tasked with uncovering his identity.
221,Self-centered Javier's life gets a bit messy when he unexpectedly becomes a superhero – and his recent ex is tasked with uncovering his identity.
226,"A crack team of DEA agents plots a daring heist, making off with $10 million in drug money. They soon find themselves targets of an unknown killer."
228,This Oscar-winning documentary recounts the harrowing stories of five Hungarian Jews who endured the horrors of the Holocaust and Hitler's reign.
229,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments."
230,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments."
231,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments."
232,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments."
236,"After waking up in a cryogenic unit, Liz fights to survive and remember who she is before her oxygen runs out."
238,"Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy."
239,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
243,"In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome."
249,"When two college roommates develop a discreet hookup app, casual affairs – and complications – soon run rampant on campus."
251,"After his affluent father passes, a man must survive seven days in the Nigerian neighborhood of Ajegunle, where obstacles keep him from his inheritance."
252,"Self-doubt, sacrifice and struggle converge into an existential crisis for a devoted classical vocalist as the mastery he strives for remains elusive."
253,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare."
254,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare."
255,Home-invasion horror comes to the trailer park when a family arrives at a mobile home community to find nobody there but a trio of masked murderers.
256,"Grieving for his dead wife and daughter, a trucker plunges into a romance with a mother who needs his help. The dead, however, are far from gone."
259,"Short on sense but long on self-confidence, dotty Deliha sets her sights on a hunky photographer who opens up shop in her neighborhood."
262,"A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
264,"A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
269,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all."
271,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all."
274,"Rei helps the woman she’s been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire."
277,"A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama."
278,"Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice."
279,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
281,"For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry."
282,"In 1960s Paris, Madame Claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything."
284,A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.
285,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos."
291,"After discovering he's a twin when a look-alike turns up dead, a French cop assumes his brother's identity to uncover the truth and seek vengeance."
294,Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.
296,"This true-crime documentary exposes new facts about alleged teen drug lord ""White Boy Rick"" and his lesser-known role as an FBI informant."
299,"This documentary explores Nigeria’s cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality."
300,"In this hidden-camera prank comedy, two best friends bond on a wild road trip to New York as they pull real people into their raunchy, raucous antics."
303,"Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."
304,"Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."
307,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.
311,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history."
319,"Soon after relocating to Southeast Asia, an American family lands in the midst of a violent coup that could cost them their lives."
